Scientific Name,Matched Scientific Name,Revised.CTDB.name,Latitude - original,Longitude - original,Year - parsed,turbidity,highSST,lowSST,meanSST,waveenergy
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-11.914,143.473,1983,0.12490065,28.96,24.32,26.65,0.134963
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-29.922,153.386,1983,0.09560884,25.3,19.42,22.13,0.010144
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-23.697,152.201,1983,0.07025147,26.869999,21.439999,24.08,0.052434
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-13.069,143.901,1983,0.08178229,28.029999,24.46,26.38,0.071057
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-14.4255,144.8168,1983,0.08600134,28.349998,23.25,25.949999,0.06581
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-13.167,143.946,1983,0.08185032,28.01,24.42,26.359999,0.082431
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-11.739,144.101,1983,0.07918236,28.119999,24.529999,26.43,
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-13.166,143.95,1983,0.08185032,28.01,24.439999,26.38,0.082431
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-18.199,146.809,1983,0.068078116,28.349998,23.279999,25.9,0.044387
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-12.992,143.858,1983,0.072858445,27.939999,24.47,26.38,0.038934
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-10.766,143.983,1983,0.09077215,27.96,24.68,26.46,0.016214
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-18.232,146.638,1983,0.05736161,28.48,23.24,25.88,0.0263
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-13.246,143.909,1983,0.06352097,27.96,24.33,26.31,0.082431
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-19.333,158.666,1983,0.03431332,27.699999,23.55,25.609999,
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-29.454,159.111,1983,0.039703246,24.439999,19.31,21.92,
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-18.682,146.513,1983,0.10684275,28.71,22,25.619999,0.03283
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-18.232,146.638,1983,0.05736161,28.48,23.24,25.88,0.0263
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-18.56,146.49,1983,0.09267254,,,,0.033358
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-14.4255,144.8168,1983,0.08600134,28.349998,23.25,25.949999,0.06581
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-18.661,146.56,1983,0.06353092,28.63,22.23,25.71,0.044006
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-14.732,145.194,1983,0.11542707,28.939999,23.109999,25.949999,0.054733
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-18.73,146.69,1983,,28.519999,22.279999,25.64,0.02272
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-18.761,146.592,1983,0.094535045,28.67,21.83,25.68,0.052587
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-20.966,150.083,1983,0.05858842,28.08,21.63,25.09,0.141905
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-11.914,143.473,1983,0.12490065,28.96,24.32,26.65,0.134963
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-10.2,142.81,1983,0.09777178,28.93,24.939999,27.099998,0.810446
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-11.694,144.028,1983,0.062372394,28,24.6,26.449999,0.158486
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-19.4,158.85,1983,0.03508881,27.5,23.38,25.56,
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-14.524,144.964,1983,0.11641185,28.49,23.1,25.849998,0.181785
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,-14.663,145.448,1983,0.06773445,28.4,23.8,26.15,0.340304
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-23.697,152.201,1983,0.07025147,26.869999,21.439999,24.08,0.052434
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-19.883,158.316,1983,0.055503912,27.41,23.289999,25.279999,
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-29.454,159.111,1983,0.039703246,24.439999,19.31,21.92,
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-20.333,148.85,1983,,,,,0.043984
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-14.492,144.974,1983,0.11641185,28.32,23.14,25.88,0.181785
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-19.333,158.666,1983,0.03431332,27.699999,23.55,25.609999,
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-9.775,143.86,1983,0.11162425,28.599998,25.119999,26.98,0.061519
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-18.232,146.638,1983,0.05736161,28.48,23.24,25.88,0.0263
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-16.6,150.283,1983,0.030781476,28.46,24.4,26.43,0.001776
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-18.659,146.511,1983,0.10684275,,,,0.033358
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-19.838,158.29,1983,0.05930855,27.4,23.279999,25.3,
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-13.246,143.909,1983,0.06352097,27.96,24.33,26.31,0.082431
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-14.524,144.964,1983,0.11641185,28.49,23.1,25.849998,0.181785
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-14.732,145.194,1983,0.11542707,28.939999,23.109999,25.949999,0.054733
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-13.166,143.95,1983,0.08185032,28.01,24.439999,26.38,0.082431
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-18.661,146.56,1983,0.06353092,28.63,22.23,25.71,0.044006
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-11.739,144.101,1983,0.07918236,28.119999,24.529999,26.43,
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-13.169,143.942,1983,0.08185032,28.01,24.42,26.359999,0.082431
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,-18.76,146.69,1983,,28.59,22.07,25.619999,0.033244
