Name,Scientific.Name,locality,Latitude - processed,Longitude - processed,Coordinate Uncertainty in Metres - parsed,IMCRA Region - parsed,State - parsed,Year - parsed,coordinate Uncertainty In Meters,Data Resource ID
"Leptastrea purpurea (Dana, 1846)",Leptastrea.purpurea,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1976,5000,dr684
Lobophyllia hemprichii,Lobophyllia.hemprichii,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1979,5000,dr684
"Merulina ampliata (Ellis & Solander, 1786)",Merulina.ampliata,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1979,5000,dr684
"Montastrea valenciennesi (Edwards & Haime, 1848)",Montastrea.valenciennesi,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Montipora grisea Bernard, 1897",Montipora.grisea,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1983,5000,dr684
"Montipora informis Bernard, 1897",Montipora.informis,"Jervis Reef, NE and E side",-9.99,142.23,2500,Northeast Shelf Transition,Queensland,1983,2500,dr684
"Montipora tuberculosa (Lamarck, 1816)",Montipora.tuberculosa,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1983,5000,dr684
"Montipora turgescens Bernard, 1897",Montipora.turgescens,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1983,5000,dr684
"Moseleya latistellata Quelch, 1884",Moseleya.latistellata,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Platygyra lamellina (Ehrenberg, 1834)",Platygyra.lamellina,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Plesiastrea versipora (Lamarck, 1816)",Plesiastrea.versipora,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Podabacia crustacea (Pallas, 1766)",Podabacia.crustacea,"Jervis Reef, NE and E side",-9.99,142.23,2500,Northeast Shelf Transition,Queensland,1979,2500,dr684
"Podabacia crustacea (Pallas, 1766)",Podabacia.crustacea,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1979,5000,dr684
"Pseudosiderastrea tayamai Yabe & Sugiyama, 1935",Pseudosiderastrea.tayami,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1979,5000,dr684
"Stylophora pistillata Esper, 1797",Stylophora.pistillata,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1975,5000,dr684
"Turbinaria bifrons Bruggemann, 1877",Turbinaria.bifrons,"Jervis Reef, NE and E side",-9.99,142.23,2500,Northeast Shelf Transition,Queensland,1979,2500,dr684
"Turbinaria mesenterina (Lamarck, 1816)",Turbinaria.mesenterina,"Jervis Reef, NE and E side",-9.99,142.23,2500,Northeast Shelf Transition,Queensland,1979,2500,dr684
"Turbinaria patula (Dana, 1846)",Turbinaria.patula,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1979,5000,dr684
"Turbinaria peltata (Esper, 1794)",Turbinaria.peltata,"Jervis Reef, NE and E side",-9.99,142.23,2500,Northeast Shelf Transition,Queensland,1979,2500,dr684
"Fungia (Fungia) Fungites (Linnaeus, 1758)",Fungia.fungites,"Turtle Backed Island, W side (i used pos for Yam Island, Charlie confirmed)",-9.901,142.784,700,Northeast Shelf Transition,Queensland,1979,700,dr684
"Galaxea cf. astreata (Lamarck, 1816)",Galaxea.astreata,"Turtle Backed Island, W side (i used pos for Yam Island, Charlie confirmed)",-9.901,142.784,700,Northeast Shelf Transition,Queensland,1979,700,dr684
"Heliofungia actiniformis (Quoy & Gaimard, 1833)",Heliofungia.actiniformis,"Turtle Backed Island, W side (i used pos for Yam Island, Charlie confirmed)",-9.901,142.784,700,Northeast Shelf Transition,Queensland,1979,700,dr684
"Herpolitha limax (Houttuyn, 1772)",Herpolitha.limax,"Turtle Backed Island, W side (i used pos for Yam Island, Charlie confirmed)",-9.901,142.784,700,Northeast Shelf Transition,Queensland,1979,700,dr684
Lobophyllia hemprichii,Lobophyllia.hemprichii,"Turtle Backed Island, W side (i used pos for Yam Island, Charlie confirmed)",-9.901,142.784,700,Northeast Shelf Transition,Queensland,1979,700,dr684
"Montipora mollis Bernard, 1897",Montipora.mollis,"Turtle Backed Island, W side (i used pos for Yam Island, Charlie confirmed)",-9.901,142.784,700,Northeast Shelf Transition,Queensland,1983,700,dr684
"Montipora stellata Bernard, 1897",Montipora.stellata,"Turtle Backed Island, W side (i used pos for Yam Island, Charlie confirmed)",-9.901,142.784,700,Northeast Shelf Transition,Queensland,1983,700,dr684
"Pachyseris speciosa (Dana, 1846)",Pachyseris.speciosa,"Turtle Backed Island, W side (i used pos for Yam Island, Charlie confirmed)",-9.901,142.784,700,Northeast Shelf Transition,Queensland,1979,700,dr684
"Pavona cactus (Forskal, 1775)",Pavona.cactus,"Turtle Backed Island, W side (i used pos for Yam Island, Charlie confirmed)",-9.901,142.784,700,Northeast Shelf Transition,Queensland,1979,700,dr684
"Plerogyra sinuosa (Dana, 1846)",Plerogyra.sinuosa,"Turtle Backed Island, W side (i used pos for Yam Island, Charlie confirmed)",-9.901,142.784,700,Northeast Shelf Transition,Queensland,1979,700,dr684
"Podabacia crustacea (Pallas, 1766)",Podabacia.crustacea,"Turtle Backed Island, W side (i used pos for Yam Island, Charlie confirmed)",-9.901,142.784,700,Northeast Shelf Transition,Queensland,1979,700,dr684
"Sandalolitha robusta (Quelch, 1886)",Sandalolitha.robusta,"Turtle Backed Island, W side (i used pos for Yam Island, Charlie confirmed)",-9.901,142.784,700,Northeast Shelf Transition,Queensland,1979,700,dr684
"Scapophyllia cylindrica (Edwards & Haime, 1848)",Scapophyllia.cylindrica,"Turtle Backed Island, W side (i used pos for Yam Island, Charlie confirmed)",-9.901,142.784,700,Northeast Shelf Transition,Queensland,1979,700,dr684
