Scientific Name,Matched Scientific Name,Revised CTDB name,,Species - matched,locality,Latitude - original,Longitude - original,Year - parsed,el 954 chl,el 2097 salinity max,el 2096 salinity min,el 955 temp,el 947 turb
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,Great Detached Reef,-11.694,144.028,1983,0.48999563,35.38,34.7,26.695108,0.062372394
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,"Sir Charles Hardy Islands, NW side",-11.914,143.473,1983,1.5088648,35.399998,34.63,27.015633,0.12490065
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,"Houghton Island, W corner",-14.524,144.964,1983,1.4286817,35.44,34.719997,26.132479,0.11641185
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,"Curacao Island, Palm Islands, N. Side",-18.661,146.56,1983,0.41033953,35.57,34.48,25.918518,0.06353092
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,"Headland between Watson's Beach and Aborigine Beach, Lizard Island",-14.663,145.448,1983,0.4461397,35.469997,34.739998,26.44021,0.06773445
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,Between Orpheus and Pelorus Islands,-18.56,146.49,1983,0.76855814,,,26.082157,0.09267254
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,"Sue Island, NW corner",-10.2,142.81,1983,0.80575466,35.53,33.989998,27.468773,0.09777178
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,"Bennett Island, (Passage Islet) Chesterfield Atoll",-19.333,158.666,1983,0.1347396,35.3,34.93,25.76719,0.03431332
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,"Middleton Reef, N side",-29.454,159.111,1983,0.16654554,35.71,35.57,21.977228,0.039703246
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,"Fantome Island (Palm Islands), W side",-18.682,146.513,1983,0.95908695,35.57,34.469997,25.836819,0.10684275
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,"Britomart Reef, S side",-18.232,146.638,1983,0.3459876,35.54,34.53,26.272865,0.05736161
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,"Bewick Island, NE corner",-14.4255,144.8168,1983,0.6497173,35.42,34.68,26.18764,0.08600134
"Acropora (Acropora) austera (Dana, 1846)",Acropora austera,Acropora austera,,Acropora (Acropora) austera,Tijou Reef,-13.166,143.95,1983,0.6841327,35.42,34.79,26.593689,0.08185032
"Acropora (Acropora) austera (Dana, 1846)",Acropora austera,Acropora austera,,Acropora (Acropora) austera,"Curacao Island, Palm Islands, N. Side",-18.661,146.56,1983,0.41033953,35.57,34.48,25.918518,0.06353092
"Acropora (Acropora) austera (Dana, 1846)",Acropora austera,Acropora austera,,Acropora (Acropora) austera,Great Detached Reef,-11.739,144.101,1983,0.644344,35.39,34.71,26.781054,0.07918236
"Acropora (Acropora) austera (Dana, 1846)",Acropora austera,Acropora austera,,Acropora (Acropora) austera,Tijou Reef,-13.169,143.942,1983,0.6841327,35.42,34.79,26.593689,0.08185032
"Acropora (Acropora) austera (Dana, 1846)",Acropora austera,Acropora austera,,Acropora (Acropora) austera,"South East Cape, Great Palm Island",-18.76,146.69,1983,,35.57,34.48,25.904774,
"Acropora (Acropora) austera (Dana, 1846)",Acropora austera,Acropora austera,,Acropora (Acropora) austera,"Middleton Reef, S outer slope",-29.454,159.111,1983,0.16654554,35.71,35.57,21.977228,0.039703246
"Acropora (Acropora) austera (Dana, 1846)",Acropora austera,Acropora austera,,Acropora (Acropora) austera,"near Triangle Reef, S side of a channel",-10.766,143.983,1983,0.84278554,35.32,34.57,26.733238,0.09077215
