Record ID,Scientific Name,Matched.Scientific.Name,Revised CTDB name,Taxon Rank - matched,Species - matched,locality,Latitude - original,Longitude - original,Coordinate Uncertainty in Metres - parsed,Collector,Outlier for layer,Taxon identification issue,Data Resource ID,Data Resource Name,Suspected outlier,geodetic Datum Assumed Wgs 84,Habitat incorrect for species,Homonym issues with supplied name,incomplete Collection Date,inferred Duplicate Record,Name not in national checklists,Name not recognised
d4c1ffcd-89ce-4f8c-95d2-8d53a79a78a4,"Acanthastrea hillae Wells, 1955",Acanthastrea.hillae,Homophyllia hillae,species,Acanthastrea hillae,"Bewick Island, NE corner",-14.4251,144.8154,300,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
13c3da9b-d7c0-4a8c-8a82-cea0c4e5c0dc,Acanthastrea lordhowensis,Acanthastrea.lordhowensis,Micromussa lordhowensis,species,Acanthastrea lordhowensis,"The lagoon, LORD HOWE ISLAND",-31.529,159.061,750,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
079379a5-c755-4db5-a8d1-0618e160d310,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,Between Orpheus and Pelorus Islands,-18.56,146.49,1000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
0cbd261e-e1ff-4aa4-b8d9-eb370bb3b376,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,"Corbett Reef, W end",-13.943,144.237,2000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
6cf05b86-c638-4c31-b037-4d7e510a0c9f,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,"Sue Island, NW corner",-10.2,142.81,300,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
6f78142f-8075-49b0-8d3f-c6cdf661e42d,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,"Howick Island, N end",-14.492,144.974,1000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
86a077d7-3904-4f45-9593-324aa05a5c85,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,"Lizard Island lagoon, SW entrance near Bird Islet",-14.688,145.468,1000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
91fc8c44-59c3-4bc5-bdad-4b24d9e92367,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,"Houghton Island, W corner",-14.524,144.964,1000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
ae74e08d-6430-47e8-badb-cfdabc723bc6,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,"8 km E of Wye Reef, SE side",-12.783,143.702,5000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
220174e8-61a5-47d1-b4cf-0c3db58d9f71,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,"Bird Island, NW corner",-11.766,143.833,2000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
24a8701a-1e73-4986-9af5-ab67d023dac2,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,"Tijou Reef, SW corner",-13.246,143.909,1000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2aca56a7-4605-47b5-bcc6-09a929a1964c,"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora.(Isopora).brueggemanni,Isopora brueggemanni,species,Acropora (Isopora) brueggemanni,"Houghton Island, W corner",-14.524,144.964,1000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
