"species","site","present","Latitude","Longitude","stdev","SST_p50","Chl_50p","skewnes","TSM_50P","PAR_50P","Calcification.rate","Colony.maximum.diameter","Corallite.width.maximum","Growth.form.typical","Growth.rate","Polyps.per.area","Skeletal.density","Skeletal.micro.density","molefam","morphfam"
"Acropora aspera",129,0,-14.368,145.373,1.85540223121643,26.7000007629395,0.161495164036751,0.0181890185922384,0.410022795200348,45.809814453125,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",94,0,-17.411,155.846,1.58217740058899,26.5481262207031,0.116096213459969,0.0522535629570484,0.322489678859711,46.1655120849609,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",53,1,-20.966,150.083,2.36805033683777,25.6481246948242,0.305505156517029,-0.145251825451851,0.607946813106537,46.9554290771484,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",148,0,-18.863,148.077,1.91380059719086,26.25,0.165488958358765,0.0286576263606548,0.404676288366318,47.2479095458984,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",222,0,-16.16,149.98,1.56188833713531,26.7000007629395,0.0870596915483475,0.00498310849070549,0.304494172334671,47.2229690551758,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",86,0,-13.172,143.943,1.77060151100159,26.7000007629395,2.72446465492249,0.00456530461087823,2.11965990066528,46.0726013183594,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",119,0,-21.116,152.766,1.76842355728149,25.8731250762939,0.124639749526978,0.0326590277254581,0.342718064785004,47.2980499267578,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",144,0,-18.776,146.6667,2.56029105186462,26.4018745422363,0.434619843959808,-0.127716973423958,0.75140106678009,45.8237495422363,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",201,0,-9.683,144.701,1.69306933879852,27.2231254577637,0.206294879317284,-0.0570325776934624,0.428219854831696,45.6088714599609,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",55,0,-13.246,143.958,1.8133133649826,26.7000007629395,2.32134246826172,0.0125490436330438,1.98089218139648,46.0488815307617,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",20,1,-10.2,142.81,1.91688001155853,27.6000003814697,3.48982167243958,-0.11379799246788,2.42035436630249,43.4738807678223,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",49,0,-10.728,143.986,1.61172378063202,26.9249992370605,1.0195677280426,-0.118192881345749,1.80084228515625,45.2251815795898,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",79,0,-20.951,150.087,2.36772656440735,25.6481246948242,0.338777929544449,-0.142182424664497,0.678992688655853,46.9554290771484,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",232,0,-9.761,143.4,1.7985976934433,27.6000003814697,1.88802218437195,-0.0915068611502647,1.72372114658356,43.8366317749023,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",18,0,-9.8,143.02,1.97326147556305,27.5634365081787,1.59840273857117,-0.0589460432529449,2.57201671600342,44.6165809631348,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
