trait,master_species,value
substrate_attachment,Astreopora.ocellata,attached
substrate_attachment,Astreopora.randalli,attached
substrate_attachment,Astreopora.scabra,attached
substrate_attachment,Astreopora.suggesta,attached
substrate_attachment,Astroides.calycularis,attached
substrate_attachment,Aulocyathus.atlanticus,unattached
substrate_attachment,Aulocyathus.juvenescens,unattached
substrate_attachment,Aulocyathus.matricidus,unattached
substrate_attachment,Aulocyathus.recidivus,unattached
substrate_attachment,Australocyathus.vincentinus,unattached
substrate_attachment,Australogyra.zelli,attached
substrate_attachment,Australomussa.rowleyensis,attached
substrate_attachment,Balanophyllia.bairdiana,attached
substrate_attachment,Balanophyllia.bayeri,attached
substrate_attachment,Balanophyllia.bonaespei,attached
substrate_attachment,Balanophyllia.buccina,attached
substrate_attachment,Balanophyllia.capensis,attached
substrate_attachment,Balanophyllia.caribbeana,attached
substrate_attachment,Balanophyllia.carinata,attached
substrate_attachment,Balanophyllia.cedrosensis,attached
substrate_attachment,Balanophyllia.cellulosa,attached
substrate_attachment,Balanophyllia.chnous,attached
substrate_attachment,Balanophyllia.corniculans,attached
substrate_attachment,Balanophyllia.cornu,attached
substrate_attachment,Balanophyllia.crassiseptum,attached
substrate_attachment,Balanophyllia.crassitheca,attached
substrate_attachment,Balanophyllia.cumingii,attached
substrate_attachment,Balanophyllia.cyathoides,attached
substrate_attachment,Balanophyllia.dentata,attached
substrate_attachment,Balanophyllia.desmophyllioides,attached
substrate_attachment,Balanophyllia.diademata,attached
substrate_attachment,Balanophyllia.diffusa,attached
substrate_attachment,Balanophyllia.dineta,attached
substrate_attachment,Balanophyllia.diomedeae,attached
substrate_attachment,Balanophyllia.dubia,attached
substrate_attachment,Balanophyllia.elegans,attached
substrate_attachment,Balanophyllia.elliptica,attached
substrate_attachment,Balanophyllia.elongata,attached
substrate_attachment,Balanophyllia.europaea,attached
substrate_attachment,Balanophyllia.floridana,attached
substrate_attachment,Balanophyllia.galapagensis,attached
substrate_attachment,Balanophyllia.gemma,attached
substrate_attachment,Balanophyllia.gemmifera,attached
substrate_attachment,Balanophyllia.generatrix,attached
substrate_attachment,Balanophyllia.gigas,attached
substrate_attachment,Balanophyllia.hadros,attached
substrate_attachment,Balanophyllia.imperialis,attached
substrate_attachment,Balanophyllia.iwayamaensis,attached
substrate_attachment,Balanophyllia.laysanensis,attached
substrate_attachment,Balanophyllia.malouiensis,attached
substrate_attachment,Balanophyllia.merguiensis,attached
substrate_attachment,Balanophyllia.palifera,attached
substrate_attachment,Balanophyllia.parallela,attached
substrate_attachment,Balanophyllia.parvula,attached
substrate_attachment,Balanophyllia.pittieri,unattached
substrate_attachment,Balanophyllia.ponderosa,attached
substrate_attachment,Balanophyllia.profundicella,attached
substrate_attachment,Balanophyllia.rediviva,attached
substrate_attachment,Balanophyllia.regalis,unattached
substrate_attachment,Balanophyllia.regia,attached
substrate_attachment,Balanophyllia.scabra,attached
substrate_attachment,Balanophyllia.scabrosa,attached
substrate_attachment,Balanophyllia.serrata,attached
substrate_attachment,Balanophyllia.stimpsonii,unattached
substrate_attachment,Balanophyllia.taprobanae,attached
substrate_attachment,Balanophyllia.tenuis,attached
