,species,site,present,Latitude,Longitude,stdev,SST_p50,Chl_50p,skewnes,TSM_50P,PAR_50P,abundance_world,depth_lower,depth_range,found_off_reef,growth_form,range_size_veron_.pixels.,reproductive_mode_.ahb.,sexual_system,substrate_attachment,water_clarity_preference,wave_exposure_preference,zooxanthellae_in_propagules_.ahb.
53987,Platygyra.sinensis,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,uncommon,30,30,TRUE,massive,6772,spawner,hermaphrodite,attached,clear,broad,no
54586,Plesiastrea.versipora,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,uncommon,40,39,TRUE,encrusting,7036,spawner,gonochorous,attached,clear,protected,no
54680,Pocillopora.damicornis,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,common,55,54,FALSE,branching,7431,brooder,hermaphrodite,attached,both,broad,yes
58549,Porites.stephensoni,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,uncommon,5,5,FALSE,massive,5113,brooder,NA,attached,clear,protected,yes
62526,Stylophora.pistillata,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,common,65,64,FALSE,branching,6767,brooder,hermaphrodite,attached,clear,exposed,yes
64425,Turbinaria.mesenterina,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,common,20,17,FALSE,foliaceous,6975,spawner,gonochorous,attached,turbid,protected,no
65085,Turbinaria.radicalis,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,rare,25,23,FALSE,encrusting,2328,spawner,NA,attached,clear,broad,no
3429,Acropora.cuneata,150,0,-28.621,153.616,2.294607639,23.02687454,NA,0.136034921,NA,41.30210114,common,15,15,FALSE,laminar,5434,brooder,hermaphrodite,attached,clear,exposed,no
5527,Acropora.gemmifera,150,0,-28.621,153.616,2.294607639,23.02687454,NA,0.136034921,NA,41.30210114,common,15,14,FALSE,digitate,4928,spawner,hermaphrodite,attached,clear,broad,no
5621,Acropora.glauca,150,0,-28.621,153.616,2.294607639,23.02687454,NA,0.136034921,NA,41.30210114,rare,20,15,TRUE,corymbose,2012,spawner,hermaphrodite,attached,both,protected,no
6496,Acropora.humilis,150,0,-28.621,153.616,2.294607639,23.02687454,NA,0.136034921,NA,41.30210114,common,11,11,FALSE,digitate,6545,spawner,hermaphrodite,attached,clear,exposed,no
6741,Acropora.hyacinthus,150,0,-28.621,153.616,2.294607639,23.02687454,NA,0.136034921,NA,41.30210114,common,20,15,FALSE,tabular,7903,spawner,hermaphrodite,attached,clear,exposed,no
8064,Acropora.microclados,150,0,-28.621,153.616,2.294607639,23.02687454,NA,0.136034921,NA,41.30210114,uncommon,20,15,FALSE,corymbose,6596,spawner,hermaphrodite,attached,clear,exposed,no
8733,Acropora.monticulosa,150,0,-28.621,153.616,2.294607639,23.02687454,NA,0.136034921,NA,41.30210114,uncommon,12,11,FALSE,digitate,5697,spawner,hermaphrodite,attached,clear,exposed,no
11744,Acropora.solitaryensis,150,0,-28.621,153.616,2.294607639,23.02687454,NA,0.136034921,NA,41.30210114,rare,25,20,FALSE,tabular,4376,spawner,hermaphrodite,attached,clear,broad,no
19041,Caulastrea.tumida,150,0,-28.621,153.616,2.294607639,23.02687454,NA,0.136034921,NA,41.30210114,common,40,38,FALSE,phaceloid,2727,spawner,NA,attached,both,protected,no
25836,Favia.favus,150,0,-28.621,153.616,2.294607639,23.02687454,NA,0.136034921,NA,41.30210114,common,50,50,TRUE,massive,6990,spawner,hermaphrodite,attached,clear,protected,no
27602,Favia.speciosa,150,0,-28.621,153.616,2.294607639,23.02687454,NA,0.136034921,NA,41.30210114,common,50,50,TRUE,massive,6902,spawner,hermaphrodite,attached,clear,broad,no
29594,Fungia.fungites,150,0,-28.621,153.616,2.294607639,23.02687454,NA,0.136034921,NA,41.30210114,common,50,49,TRUE,solitary,7113,spawner,gonochorous,unattached,clear,protected,no
